Type,Criteria,Average_Recall_NA,NA_TP,NA_FP,NA_TN,NA_FN,MAE,Krippendorff_Alpha,Mean_GT,Mean_LLM,Valid_Samples,Note
Main,Crit_A,0.5,0,0,30,0,0.6,0.3190603914130187,3.966666666666667,4.033333333333333,30.0,
Main,Crit_B,0.5,0,0,30,0,0.6000000001111111,0.4148707425228796,3.1000000000666668,2.6777777777777776,30.0,
Main,Crit_C,0.5,0,0,30,0,0.6044444444555555,0.3675610278173306,3.845000000033333,3.3361111111111112,30.0,
Main,Crit_D,0.5,0,0,30,0,0.7,0.4414517565664099,3.3,3.7333333333333334,30.0,
Main,Crit_L,0.5,0,0,30,0,0.5666666666666667,0.8082011398473345,3.9,3.6666666666666665,30.0,
Sub,A-01,0.5,0,0,30,0,0.6,0.5083657544785142,4.033333333333333,4.233333333333333,30.0,
Sub,A-02,0.5,0,0,30,0,0.8,-0.005194098851043494,3.9,3.8333333333333335,30.0,
Sub,B-01,0.5,0,0,30,0,0.8666666666666667,0.2409135705134523,3.2666666666666666,2.7333333333333334,30.0,
Sub,B-02,0.75,2,0,26,2,0.6153846153846154,0.17825275302934318,2.769230769230769,2.923076923076923,26.0,
Sub,B-03,0.5,0,0,30,0,0.9666666666666667,0.3637877112777762,3.1,2.3333333333333335,30.0,
Sub,C-01,0.78125,9,0,14,7,1.0,0.1972954230235784,4.642857142857143,3.9285714285714284,14.0,
Sub,C-02,0.6481481481481481,1,1,26,2,0.8076923076923077,0.1617451809598741,4.3076923076923075,3.6538461538461537,26.0,
Sub,C-04,0.5,0,0,30,0,0.9,0.16058805558189282,4.133333333333334,3.8333333333333335,30.0,
Sub,C-05,0.5,0,0,30,0,0.8333333333333334,0.006525849262765004,3.466666666666667,2.9,30.0,
Sub,C-06,0.5,0,0,30,0,0.8,0.25801606138440036,3.4,2.8666666666666667,30.0,
Sub,D-01,0.5,0,0,30,0,0.7,0.4414517565664099,3.3,3.7333333333333334,30.0,
Sub,L-01,0.5,0,0,30,0,0.5666666666666667,0.8082011398473345,3.9,3.6666666666666665,30.0,
,SUBCRITERIA_GLOBAL_METRICS,,12,1,336,11,0.7797619047619048,0.47122775815553386,3.642857142857143,3.363095238095238,,MAEm: 0.7880 | Global Avg Recall N/A: 0.7594 | Global Alpha: 0.4712
